question-word,answer-word,guess-word,label
enormously,tremendously,,guess
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,,guess
zenith,pinnacle,completion,wrong
flawed,imperfect,,guess
urgently,desperately,desperately,correct
consumed,eaten,caught,wrong
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,,guess
fanciful,imaginative,,guess
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,,guess
furnish,supply,,guess
costly,expensive,,guess
recognized,acknowledged,successful,wrong
spot,location,sea,wrong
make,earn,trade,wrong
often,frequently,hardly,wrong
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,unusual,wrong
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,,guess
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,doctor,correct
essentially,basically,eagerly,wrong
keen,sharp,sharp,correct
situated,positioned,,guess
principal,major,,guess
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,,guess
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,furiously,correct
hailed,acclaimed,remembered,wrong
command,mastery,observation,wrong
concocted,devised,,guess
prospective,potential,particular,wrong
generally,broadly,broadly,correct
sustained,prolonged,,guess
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,,guess
dissipate,disperse,,guess
primarily,chiefly,cautiously,wrong
colloquial,conversational,,guess
resolved,settled,forgotten,wrong
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,profit,wrong
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,cure,wrong
normally,ordinarily,,guess
